name,n,overall_acc_%,dir_acc_ex_hold_%,dir_acc_ex_hold_n,buy_acc_%,sell_acc_%,hold_acc_%,buy_n,sell_n,hold_n,hold_rate_%,hold_precision_%,mean_strategy_return_%,mean_excess_vs_bh_%
buy_hold,373,58.45,58.45,373,58.45,,,373,0,0,0.0,,1.412,0.0
sma_crossover,373,50.67,52.98,302,58.55,43.12,40.85,193,109,71,19.03,39.44,0.344,-1.069
random_uniform,373,40.21,44.49,236,51.88,34.95,32.85,133,103,137,36.73,30.66,-0.337,-1.749
rsi_14,373,34.05,44.12,102,58.33,36.36,30.26,36,66,271,72.65,29.15,-0.368,-1.78
